LOJA,cluster
LAG - MONDUBIM,11
SUPER DO POVO - PARQUE DOIS IRMAOS,11
SUPER DO POVO - PREF JOSE WALTER,9
COMETA (JOSE WALTER 01),9
MATEUS - JOSE WALTER,11
SUPER DO POVO - JUREMA,5
SUPER DO POVO - CONJUNTO CEARA,2
CENTERBOX - ATACAREJO,5
CENTERBOX - VITAL BRASIL,2
MATEUS - CAUCAIA,2
COMETA (MATOS DOURADO),2
SUPER DO POVO - HENRIQUE JORGE,2
COMETA (HENRIQUE JORGE),2
CENTERBOX - PRQ GENIBAU,2
MATEUS - HENRIQUE JORGE,2
FRANGOLANDIA - MARAPONGA,11
CENTERBOX - JOAO XXIII,2
PINHEIRO - MARAPONGA,11
COMETA (MARAPONGA),11
FRANGOLANDIA - MONTESE,10
SUPER LAGOA - PARANGABA,2
COMETA (SIQUEIRA),2
COMETA (JOAO PESSOA),10
COMETA (JOAO XXIII),2
FRANGOLANDIA - VARJOTA,0
COMETA (BENI CARVALHO),0
FRANGOLANDIA - COSTA BARROS,6
COMETA (PE ANTONIO TOMAS),0
PAO DE ACUCAR - JULIO VENTURA (1252),6
FRANGOLANDIA - ALDEOTA,0
PAO DE ACUCAR - CENTER UM (1209),0
COMETA (TIBURCIO CAVALCANTE),0
PINHEIRO - ANTONIO SALES,0
SUPER DO POVO - MINI MARKET,6
COMETA (VIRGILIO TAVORA),0
CENTERBOX - CAUCAIA,5
FRANGOLANDIA - ALVARO WEYNE,5
CENTERBOX - BARRA,5
CENTERBOX - CEL CARVALHO,5
COMETA (CASTELO BRANCO),5
CENTERBOX - JD IRACEMA,5
SUPER LAGOA - MOZART LUCENA,5
COMETA (VILA VELHA),5
LAG - BARRA DO CEARA,5
MEGA - MESSEJANA,4
SUPER LAGOA - CAMBEBA,4
SUPER DO POVO - CAMBEBA,4
CENTERBOX - BERNARDO MANUEL,11
FRANGOLANDIA - ITAPERI,11
SUPER DO POVO - PASSARE,11
COMETA (JOAO CARLOS),11
COMETA (SERRINHA),11
SUPER LAGOA - PASSARE,11
COMETA (PASSARE),11
PAO DE ACUCAR - SANTOS DUMONT (1220),6
COMETA (PINTO MADEIRA),6
SUPER LAGOA - CENTRO,6
COMETA (J DA PENHA),6
COMETA (JACARECANGA),10
PAO DE ACUCAR - NAUTICO (1004),0
PAO DE ACUCAR - MUCURIPE (1257),0
PINHEIRO - PRAIA DE IRACEMA,0
COMETA (CENTRO),10
PINHEIRO - CAMBEBA,4
COMETA (JULIO LIMA),8
COMETA (JOSE LEON),8
SUPER DO POVO - GUARARAPES,8
FRANGOLANDIA - GUARARAPES,8
COMETA (OLIVEIRA PAIVA),8
PINHEIRO - ROGACIANO LEITE,8
COMETA (ED BR SOARES),8
COMETA (PATIO OLIVEIRA PAIVA),8
CENTERBOX - PRQ IRACEMA,4
PINHEIRO - PORTO DAS DUNAS,7
COMETA (EUSEBIO),7
CENTERBOX - MESSEJANA - LJ 02,4
FRANGOLANDIA - EUSEBIO,7
CENTERBOX - VALPARAISO,4
CENTERBOX - PARQUE DOM PEDRO,3
CENTERBOX - PARQUE SANTA MARIA,3
CENTERBOX - PEDRAS,3
SUPER LAGOA - SANTOS DUMONT,0
SUPER LAGOA - CIDADE 2000,0
FRANGOLANDIA - COCO,8
CENTERBOX - CONCEITO,0
PAO DE ACUCAR - COCO (1253),0
CENTERBOX - SANTOS DUMONT,0
PAO DE ACUCAR - IGUATEMI (1339),8
SUPER LAGOA - LUCIANO CAVALCANTE,8
PAO DE ACUCAR - LUCIANO CAVALCANTE (2374),8
COMETA (ENGENHEIRO SANTANA JR),0
FRANGOLANDIA - SANTOS DUMONT,0
FRANGOLANDIA - MOLINA CENTER,8
COMETA (ANTONIO SALES),6
EXTRA - RODOVIARIA (1404),6
COMETA (FATIMA),6
PAO DE ACUCAR - FATIMA (0255),6
PAO DE ACUCAR - AGUANAMBI (1398),6
COMETA (TREZE DE MAIO),6
FRANGOLANDIA - RUI BARBOSA,6
COMETA (ILDEFONSO ALBANO),6
COMETA (BARAO DO RIO BRANCO),6
CENTERBOX - PANAMERICANO,10
PINHEIRO - PANAMERICANO,10
FRANGOLANDIA - MONTE CASTELO,10
FRANGOLANDIA - PARQUE ARAXA,10
COMETA (JOVITA FEITOSA),10
CENTERBOX - PARQUELANDIA,10
SUPER LAGOA - RODOLFO TEOFILO,10
SUPER LAGOA - NORTH SHOPPING,10
PAO DE ACUCAR - BEZERRA DE MENEZES (2375),10
COMETA (PRESIDENTE KENNEDY),10
FRANGOLANDIA - MESSEJANA,4
COMETA (FREI CIRILO),4
PINHEIRO - WASHINGTON SOARES,4
PINHEIRO - MESSEJANA,4
LAG - MESSEJANA,4
COMETA (JOAQUIM FELICIO),4
CENTERBOX - MESSEJANA - LJ 01,4
CENTERBOX - LAGOA REDONDA,4
CENTERBOX - CURIO,4
COMETA (MESSEJANA),4
