CODIGO;LOJA;Mix de Produtos quantidade;LATITUDE;LONGITUDE
9342;LAG - MONDUBIM;7;-3.8165396;-38.5571378
8971164;SUPER DO POVO - PARQUE DOIS IRMAOS;19;-3.8211125;-38.5562854
8971161;SUPER DO POVO - PREF JOSE WALTER;19;-3.8314092000000244;-38.560540300000014
1034;COMETA (JOSE WALTER 01);35;-3.83055313;-38.56049735
11733;MATEUS - JOSE WALTER;36;-3.8207176;-38.55885136
8971166;SUPER DO POVO - JUREMA;19;-3.7738473;-38.6282389
8971162;SUPER DO POVO - CONJUNTO CEARA;19;-3.7694439;-38.6045471
9586;CENTERBOX - ATACAREJO;13;-3.7807157;-38.6223482
11595;CENTERBOX - VITAL BRASIL;34;-3.77778933;-38.59964399
11622;MATEUS - CAUCAIA;36;-3.76132708;-38.61643438
548;COMETA (MATOS DOURADO);35;-3.7498338;-38.5846885
8971160;SUPER DO POVO - HENRIQUE JORGE;19;-3.7580958;-38.5843396
976;COMETA (HENRIQUE JORGE);35;-3.7598094;-38.5861946
862;CENTERBOX - PRQ GENIBAU;34;-3.7566112;-38.6024185
10756;MATEUS - HENRIQUE JORGE;36;-3.75714249;-38.59061584
8900011;FRANGOLANDIA - MARAPONGA;38;-3.797637;-38.57033
663;CENTERBOX - JOAO XXIII;35;-3.77289;-38.5882422
192;PINHEIRO - MARAPONGA;7;-3.7855748;-38.5667357
9345;COMETA (MARAPONGA);36;-3.79182527;-38.5671401
8900017;FRANGOLANDIA - MONTESE;38;-3.7687918;-38.5566308
219;SUPER LAGOA - PARANGABA;7;-3.77391301;-38.56794475
337;COMETA (SIQUEIRA);36;-3.789045;-38.5864455
9622;COMETA (JOAO PESSOA);33;-3.7570117;-38.5530651
11809;COMETA (JOAO XXIII);36;-3.77305558;-38.57358276
8900003;FRANGOLANDIA - VARJOTA;38;-3.7321668;-38.4886676
9340;COMETA (BENI CARVALHO);32;-3.745611;-38.495747
8900018;FRANGOLANDIA - COSTA BARROS;34;-3.730295;-38.512375
4393;COMETA (PE ANTONIO TOMAS);23;-3.7411919;-38.4958533
3944;PAO DE ACUCAR - JULIO VENTURA (1252);9;-3.7399659;-38.5075747
8900010;FRANGOLANDIA - ALDEOTA;37;-3.7358277;-38.5013099
4009;PAO DE ACUCAR - CENTER UM (1209);14;-3.7373679;-38.4974441
4029;COMETA (TIBURCIO CAVALCANTE);35;-3.7411822;-38.5041525
5047;PINHEIRO - ANTONIO SALES;7;-3.74784;-38.49493
6971169;SUPER DO POVO - MINI MARKET;19;-3.7426267;-38.5125024
1058;COMETA (VIRGILIO TAVORA);35;-3.7344387;-38.4922603
4293;CENTERBOX - CAUCAIA;33;-3.7347353;-38.6595839
8900000;FRANGOLANDIA - ALVARO WEYNE;38;-3.7146908999999653;-38.56453049999993
4458;CENTERBOX - BARRA;34;-3.7100856;-38.5897058
465;CENTERBOX - CEL CARVALHO;34;-3.7135362;-38.5885703
989;COMETA (CASTELO BRANCO);33;-3.7049139;-38.5780082
4202;CENTERBOX - JD IRACEMA;34;-3.71767679;-38.57899347
186;SUPER LAGOA - MOZART LUCENA;7;-3.7184314;-38.5959119
950;COMETA (VILA VELHA);36;-3.7233183;-38.5963513
11825;LAG - BARRA DO CEARA;11;-3.7044151;-38.5783717
9487;MEGA - MESSEJANA;31;-3.8139469;-38.4994049
557;SUPER LAGOA - CAMBEBA;11;-3.8030341;-38.4883391
8971165;SUPER DO POVO - CAMBEBA;19;-3.8101342;-38.4938184
3166;CENTERBOX - BERNARDO MANUEL;34;-3.8071766;-38.555096
8900001;FRANGOLANDIA - ITAPERI;38;-3.791909099999998;-38.549750700000004
8971163;SUPER DO POVO - PASSARE;19;-3.7930876;-38.5335303
874;COMETA (JOAO CARLOS);35;-3.782635;-38.5538401
1043;COMETA (SERRINHA);36;-3.787502;-38.547114
879;SUPER LAGOA - PASSARE;7;-3.8008318;-38.5299942
9602;COMETA (PASSARE);35;-3.79093331;-38.53740405
4197;PAO DE ACUCAR - SANTOS DUMONT (1220);11;-3.7306636;-38.5131575
958;COMETA (PINTO MADEIRA);35;-3.7338116;-38.5136501
228;SUPER LAGOA - CENTRO;7;-3.7316219;-38.5268458
967;COMETA (J DA PENHA);35;-3.7374817;-38.5204755
9339;COMETA (JACARECANGA);36;-3.72013;-38.54911
4141;PAO DE ACUCAR - NAUTICO (1004);12;-3.7274751;-38.4937798
3815;PAO DE ACUCAR - MUCURIPE (1257);9;-3.7277865;-38.4862037
3616;PINHEIRO - PRAIA DE IRACEMA;7;-3.7237615;-38.513129
10946;COMETA (CENTRO);33;-3.7216531;-38.540229
8975473;PINHEIRO - CAMBEBA;7;-3.811962;-38.496844
1025;COMETA (JULIO LIMA);36;-3.7960364;-38.4990562
1482;COMETA (JOSE LEON);35;-3.7882169;-38.50204381
8971167;SUPER DO POVO - GUARARAPES;19;-3.761929;-38.4906592
8900012;FRANGOLANDIA - GUARARAPES;38;-3.7703181;-38.4872714
1049;COMETA (OLIVEIRA PAIVA);36;-3.7955137;-38.4901664
4327;PINHEIRO - ROGACIANO LEITE;7;-3.7724462;-38.4988506
9346;COMETA (ED BR SOARES);33;-3.7888981;-38.4759777
11879;COMETA (PATIO OLIVEIRA PAIVA);37;-3.79612714;-38.49383649
10977;CENTERBOX - PRQ IRACEMA;33;-3.80290818;-38.49478307
10722;PINHEIRO - PORTO DAS DUNAS;7;-3.8498382830873665;-38.396320939064026
9347;COMETA (EUSEBIO);35;-3.8795207;-38.4613795
3486;CENTERBOX - MESSEJANA - LJ 02;34;-3.830081;-38.509759
8900008;FRANGOLANDIA - EUSEBIO;38;-3.8704983;-38.4675121
11898;CENTERBOX - VALPARAISO;34;-3.8489518;-38.51200331
11896;CENTERBOX - PARQUE DOM PEDRO;34;-3.90694584;-38.50743777
11946;CENTERBOX - PARQUE SANTA MARIA;34;-3.8573702;-38.50257130
11895;CENTERBOX - PEDRAS;34;-3.89368547;-38.51477265
4394;SUPER LAGOA - SANTOS DUMONT;7;-3.7394701;-38.4895647
179;SUPER LAGOA - CIDADE 2000;7;-3.7500747;-38.4719109
